gene	nsnps	PP.H0.abf	PP.H1.abf	PP.H2.abf	PP.H3.abf	PP.H4.abf
ENSG00000132603_NIP7	564	0.00200463161547754	0.28387682763357	0.00472514802581736	0.669090135128971	0.0403032575961649
ENSG00000135698_MPHOSPH6	1869	0.494048830198927	0.0618204085978883	0.377081251151081	0.0471643516940529	0.019885158358051
ENSG00000140829_DHX38	710	0.207410726316606	0.00938484082742057	0.600661731167136	0.0270229914412035	0.155519710247634
ENSG00000141076_CIRH1A	615	0.00601537229810035	0.851956494757278	0.000486527522896152	0.0688341302845883	0.0727074751371368
ENSG00000153406_NMRAL1	828	0.878616304059656	0.0266764985842932	0.0891306750816432	0.00270330730620628	0.002873214968201
ENSG00000155393_HEATR3	905	3.35031386954655e-10	0.649848926001278	1.48262252638329e-10	0.287516587626182	0.0626344858892465
ENSG00000159461_AMFR	1098	0.000353539351770539	4.17605312035104e-05	0.879115911868129	0.10382565961483	0.0166631286340671
ENSG00000161981_C16orf33	436	0.940139523763696	0.0168200272533103	0.0406175900370184	0.000724991048074271	0.00169786789790124
ENSG00000162076_FLYWCH2	684	0.818139267175509	0.0504033739283263	0.117799576778754	0.00725091025640294	0.0064068718610074
ENSG00000166451_CENPN	1546	0.0468248021703825	0.0084461039337733	0.785884827791917	0.141738216511161	0.0171060495927664
ENSG00000166501_PRKCB1	981	0.403080799349158	0.161481936697495	0.070142411661598	0.0277628699669536	0.337531982324795
ENSG00000167515_TRAPPC2L	803	0.844183652500633	0.0312947315709234	0.1155236285297	0.00427785621844089	0.00472013118030178
ENSG00000167526_RPL13	672	0.729681103917859	0.0187137076254541	0.239086082230177	0.00612530814149882	0.0063937980850103
ENSG00000168748_CA7	752	0.4552400991756	0.436927574989813	0.0338760046028762	0.032471821266118	0.0414844999655929
ENSG00000168807_SNTB2	607	0.00476189030311529	0.674425301302138	0.0018397087262307	0.260499000562711	0.0584740991058057
ENSG00000169682_SPNS1	377	0.104697518761599	0.0166675720675803	0.71820120177715	0.114289615066409	0.0461440923272617
ENSG00000171490_RSL1D1	1260	0.611088900916333	0.250679931869664	0.0815980229921335	0.0334498298817675	0.0231833143401027
ENSG00000174177_ILMN_138331	813	0.488055097097165	0.0219067790703001	0.442111590681472	0.0198164546008958	0.028110078550167
ENSG00000175643_C16orf75	1043	0.220437366430538	0.0895448149517119	0.136427647359494	0.0549201940516957	0.498669977206561
ENSG00000178952_TUFM	424	0.814231512663169	0.0221076143000492	0.135901307200447	0.00366583184089799	0.024093733995437
ENSG00000180185_FAHD1	757	0.000311045979001765	9.57420979727956e-06	0.940726711510608	0.0289261906282763	0.0300264776723164
ENSG00000182108_ILMN_32084	1197	0.464341882656502	0.19282983754727	0.227294381928416	0.094368637554623	0.0211652603131892
ENSG00000186153_WWOX	2043	0.616526268902075	0.141717799800982	0.184142872811567	0.0423126978126415	0.0153003606727348
ENSG00000187741_FANCA	569	4.07015785337219e-07	7.68402698734162e-09	0.970887394813559	0.0183185321618917	0.0107936583247358
ENSG00000197912_SPG7	687	0.0153315229609357	0.000449750452198384	0.772029463645374	0.0224577642047031	0.189731498736789
ENSG00000002919_SNX11	796	0.294733901630406	0.0204385754117017	0.532990253818518	0.0368456750822599	0.114991594057114
ENSG00000005156_LIG3	1074	0.557929175236452	0.0267238426591707	0.38294530962598	0.0183283447707454	0.0140733277076525
ENSG00000006282_SPATA20	845	0.0280752460647243	0.00114025945217798	0.919803471462963	0.0373436345679125	0.0136373884522221
ENSG00000007312_CD79B	474	0.248699945769409	0.00320839420997577	0.725209140697917	0.0093421384104053	0.013540380912293
ENSG00000011052_NME1	958	0.859267877663557	0.0336573604390211	0.098330961526493	0.00384670809446896	0.00489709227645961
ENSG00000011295_TTC19	743	0.316745719532185	0.00568475648309611	0.654775637309739	0.0117404551750488	0.011053431499931
ENSG00000012048_BRCA1	601	1.98915741279058e-05	0.000215716023947614	0.0843054035766983	0.914256580305182	0.0012024085200434
ENSG00000035862_TIMP2	1031	0.483296501815704	0.383406872847238	0.0540172476464038	0.0428162865607186	0.0364630911299357
ENSG00000055483_USP36	1032	5.54816564488322e-05	4.42055203507836e-05	0.415514605348026	0.33081151142734	0.253574196047834
ENSG00000068097_HEATR6	433	0.865783095216288	0.0136751662484104	0.114938404839038	0.00181167667816378	0.00379165701809987
ENSG00000073584_SMARCE1	786	4.98069429856827e-06	0.296150206491192	1.12879233529332e-05	0.671142979237744	0.0326905456534127
ENSG00000091640_SPAG7	1004	0.463492922433116	0.415707348283945	0.0460283232009082	0.0412493352452145	0.0335220708368155
ENSG00000108262_GIT1	613	0.859402957857184	0.0403577670061969	0.0911659341438857	0.00427637695495244	0.0047969640377813
ENSG00000108278_ZNHIT3	727	0.498021301524334	0.0354848661000867	0.424975644166633	0.0302689893831261	0.0112491988258206
ENSG00000108352_RAPGEFL1	670	9.908841130578e-06	0.589176001800356	2.90828277054631e-06	0.172687286077276	0.238123894998467
ENSG00000108384_RAD51C	715	0.263693107470459	0.00523640021993126	0.705359499891917	0.0139952663896437	0.0117157260280488
